"Station Name","OSI/NI No","Eastings","Northings","Height","FB Sort","FB No","Date built","Ord","DR","Grid Ref","Notes"
"Lackabrack","OSI",170500,106000,98,,"u633",,,".073","R 705 060",
"The Pinnacle","OSI",172500,125200,465,,"u634",,,".073","R 725 252",
"Ballyarthur Hill","OSI",178900,117700,355,,"u635",,,".073","R 789 177",
"Glenatlucky Mountain","OSI",183300,108900,283,,"u636",,,".074","R 833 089",
"Temple Hill","OSI",183300,121800,785,,"u637",,,".074","R 833 218",
"Galtymore (Dawson's Table)","OSI",187800,123800,919,,"u638",,,".074","R 878 238",
"Greenane","OSI",192500,123900,802,,"u639",,,".074","R 925 239",
"Barranafaddock","OSI",194200,103600,323,,"u640",,,".074","R 942 036",
"Knockshanahullion","OSI",199900,110400,652,,"u641",,,".074","R 999 104",
"Slieveanard","OSI",200500,126400,449,,"u642",,,".074","S 005 264",
"Knockmealdown","P50 OSI",203799,108409,794,,"u643","tbc",1,".074","S 057 084",
"Crow Hill","OSI",211500,104000,304,,"u644",,,".074","S 115 040",
"Giantsgrave","OSI",218100,125900,118,,"u645",,,".074","S 181 259",
"Eaglehill","OSI",219600,102200,185,,"u646",,,".074","S 196 022",
"Lachtnafrankee","OSI",223500,118100,520,,"u647",,,".075","S 235 181",
"Crohaun","OSI",227500,100500,484,,"u648",,,".075","S 275 005",
"Seefin","OSI",227400,106800,726,,"u649","map 88",,".075","S 274 068",
"Knocksheegowna","OSI",227700,116500,678,,"u650",,,".075","S 277 165",
"Poulboy","OSI",234400,120900,200,,"u651",,,".075","S 344 209",
"Carrickarea","OSI",235400,101000,122,,"u652",,,".075","S 354 010",
"Crohaun Hill","OSI",237900,111000,391,,"u653",,,".075","S 379 110",
"Garranturton","OSI",239000,101700,111,,"u654",,,".075","S 390 017",
"Carrickfeneagh","OSI",241800,120000,174,,"u655",,,".075","S 418 200",
"Kilmacoliver Hill","OSI",243100,128200,261,,"u656",,,".075","S 431 282",
"Slievenamona","OSI",245000,105600,164,,"u657",,,".075","S 450 056",
"Donnell's Hill","OSI",245200,213500,249,,"u658",,,".075","S 452 135",
"Castlecraddock","OSI",247900,202700,107,,"u659",,,".075","S 479 027",
"Carricktriss (Mullenbeg)","P51 OSI",248308,129101,314,,"U660","tbc",1,".075","S 483 291",
"Monavinnaun","OSI",251400,123800,271,,"u661",,,".075","S 514 238",
"Corluddy","OSI",253400,112400,85,,"u662",,,".075","S 534 124",
"Ballyscanlan Hills","OSI",254600,102600,148,,"u663",,,".075","S 546 026",
"Sugar Loaf Rock","OSI",256600,106700,90,,"u664",,,".075","S 566 067",
"Tory Hill","OSI",259500,122100,292,,"u665",,,".075","S 595 221",
"Westtown","OSI",255900,99200,70,,"u666",,,".076","X 559 992",
"Mountsion","OSI",260300,113300,18,,"u667",,,".076","S 603 133",
"Corbally More","OSI",263500,99500,62,,"u668",,,".076","X 635 995",
"Carriganurra","OSI",264600,117500,134,,"u669",,,".076","S 646 175",
"Rahora","OSI",265000,128400,245,,"u670",,,".076","S 650 284",
"Baile an Aighleartaigh","OSI",266200,121200,136,,"u671",,,".076","S 662 212",
"Carrigaderragh (Kilmacomb Hill","P57 OSI",267812,104327,131,,"u672","tbc",1,".076","S 678 043",
"Coxtown","OSI",267800,99900,70,,"u673",,,".076","X 678 999",
"Kilcullen Upper","OSI",268400,111400,97,,"u674",,,".076","S 684 114",
"Slievecoiltia","OSI",272800,121300,270,,"u675",,,".076","S 728 213",
"Churchtown","OSI",273800,98700,16,,"u676",,,".076","X 738 987",
"Coole","OSI",274800,114800,77,,"u677",,,".076","S 748 148",
"Broomhill","OSI",275100,104800,66,,"u678",,,".076","S 751 048",
"Lacken","OSI",275900,128100,193,,"u679",,,".076","S 759 281",
"Ballygarrett","OSI",279100,109200,43,,"u680",,,".076","S 791 092",
"Baginbun Head","OSI",279900,102900,34,,"u681",,,".076","S 799 029",
"Kayle","OSI",280800,119000,76,,"u682",,,".076","S 808 190",
"Carrickbyrne Hill","OSI",283000,124900,234,,"u683",,,".076","S 830 249",
"Ardenagh","OSI",289300,116900,64,,"u684",,,".077","S 893 169",
"Craigue Little","OSI",289500,109400,31,,"u685",,,".077","S 895 094",
"Wilkinstown","OSI",292500,125300,127,,"u686",,,".077","S 925 253",
"Saltee Island Great (An Sailte","OSI",294500,96300,58,,"u687",,,".077","X 945 963",
"Forth Mountain","OSI",298000,119200,237,,"u688",,,".077","S 980 192",
"Tullabards","OSI",299700,107800,35,,"u689",,,".077","S 997 078",
"Slieveboy","OSI",302271,157150,422,,"u689.2",,,".069","T 022 571","Q  R"
"Mulgannon (Wexford)","OSI",304700,119800,74,,"u690",,,".077","T 047 198",
"Saint Vogues (Carnsore Point)","OSI",311900,103900,15,,"u691",,,".077","T 119 039",
"Greenore Point (Rinn na Binne)","OSI",315000,111100,22,,"u692",,,".077","T 150 111",
"Mount Eagle","OSI",33463,98946,513,,"u692.2",,,".070","V 334 989","Q"
"Seefin","OSI",68800,89900,493,,"u693",,,".078","V 688 899",
"Mullaghanattin","OSI",73900,77200,773,,"u694",,,".078","V 739 772",
"Knockyline","OSI",76500,97300,71,,"u695",,,".078","V 765 973",
"Carrauntoohil","OSI",80300,84400,1039,,"u696",,,".078","V 803 844",
"Peakeen Mountain","OSI",90300,76500,555,,"u697",,,".078","V 903 765",
"Mangerton Mountain","OSI",98000,80700,839,,"u698",,,".078","V 980 807",
"Knockataggle More","OSI",112500,98100,330,,"u699",,,".079","W 016 981",
"The Paps","OSI",112500,85500,690,,"u700",,,".079","W 125 855",
"Mweelin","OSI",112900,71700,487,,"u701",,,".079","W 129 717",
"Caherbarnagh","P48 OSI",119173,87157,682,,"u702","tbc",1,".079","W 191 871",
"Mullaghanish","OSI",121400,81700,649,,"u703",,,".079","W 214 817",
"Burren","OSI",123200,163300,167,,"u704",,,".079","R 232 633",
"Claragh Mountain","OSI",125000,89000,452,,"u705",,,".079","W 250 890",
"Kilnamartery","OSI",126500,72100,226,,"u706",,,".079","W 265 721",
"Musheramore","OSI",132900,85000,644,,"u707",,,".079","W 329 850",
"Burren","OSI",137700,78900,380,,"u708",,,".079","W 377 789",
"Knockagreenan","OSI",140200,73800,263,,"u709",,,".080","W 402 738",
"Mount Hilary","OSI",142500,95600,391,,"u710",,,".080","W 425 956",
"Bweengduff","OSI",146800,90300,416,,"u711",,,".080","W 468 903",
"Clontead More","OSI",147400,74600,131,,"u712",,,".080","W 474 746",
"Knockyrourke","OSI",148000,82900,258,,"u713",,,".080","W 480 829",
"Garravagh","OSI",156800,71800,161,,"u714",,,".080","W 568 718",
"Knockaroura","OSI",157200,95900,260,,"u715",,,".080","W 572 959",
"Drominare","OSI",164200,81400,197,,"u716",,,".080","W 642 814",
"Knocknaheeny","OSI",165600,73000,161,,"u717",,,".080","W 656 730",
"Corran","OSI",165700,95700,407,,"u718",,,".080","W 657 957",
"Knocknaskagh (Knocknascagh)","P49 OSI",170339,95037,428,,"u719","tbc",1,".080","W 703 950",
"Ballyharoon","OSI",170800,75100,136,,"u720",,,".080","W 708 751",
"Pouladown","OSI",173700,84000,194,,"u721",,,".080","W 737 840",
"Killahora","OSI",177900,74600,150,,"u722",,,".080","W 779 746",
"Coolquane","OSI",179000,85000,244,,"u723",,,".080","W 790 850",
"Lisheenroe","OSI",179300,79500,197,,"u724",,,".080","W 793 795",
"Carrignafoy","OSI",180300,67300,112,,"u725",,,".081","W 803 673",
"Ballynoe","OSI",180600,95800,219,,"u726",,,".081","W 806 958",
"Ballyleary","OSI",183100,76300,150,,"u727",,,".081","W 831 763",
"Rath Coursey East","OSI",187600,68900,94,,"u728",,,".081","W 876 689",
"Ballydorgan","OSI",189800,97400,177,,"u729",,,".081","W 898 974",
"Slievecorran","OSI",190100,80300,203,,"u730",,,".081","W 901 803",
"Knocknamadderee","OSI",190400,68900,104,,"u731",,,".081","W 904 689",
"Ballynona South","OSI",192300,76400,157,,"u732",,,".081","W 923 764",
"Ballydavid","OSI",192800,64100,88,,"u733",,,".081","W 928 641",
"Knockakeo","OSI",194400,85000,238,,"u734",,,".081","W 944 850",
"Parknahyla","OSI",196000,70300,91,,"u735",,,".081","W 960 703",
"Drishane More","OSI",202000,78800,131,,"u736",,,".081","X 020 788",
"Ballydaniel","OSI",203000,70800,75,,"u737",,,".081","X 030 708",
"Kilwatermoy Mountain","OSI",203100,88800,209,,"u738",,,".081","X 031 888",
"Bridane Upper","OSI",205900,94900,161,,"u739",,,".081","X 059 949",
"Carnglass","OSI",209200,87100,195,,"u740",,,".081","X 092 871",
"Tinnabinna","OSI",210400,81300,102,,"u741",,,".081","X 104 813",
"Slievegrien","P56 OSI",217415,87004,301,,"u742","tbc",1,".082","X 174 870",
"Kilnafarna Hill","OSI",218900,90200,263,,"u743",,,".082","X 189 902",
"Ram Head","OSI",219800,76700,58,,"u744",,,".082","X 198 767",
"Ballylemon Upper","OSI",220400,96700,176,,"u745",,,".082","X 204 967",
"Ahaun Hill","OSI",222700,85100,188,,"u746",,,".082","X 227 851",
"Slieve Grainn","OSI",225700,87800,233,,"u747",,,".082","X 257 878",
"Ballaghavorraga","OSI",231300,96600,143,,"u748",,,".082","X 313 966",
"Stradbally","OSI",237600,97100,75,,"u749",,,".082","X 376 971",
"Whitefield","OSI",251900,98700,72,,"u750",,,".082","X 519 987",
"Bolus","OSI",39900,63500,410,,"u751","OSI Hotine",,".083","V 399 635",
"Knocknadobar","OSI",50600,84500,690,,"u752",,,".083","V 506 845",
"Cahernageeha Mountain","OSI",53900,61300,499,,"u753",,,".083","V 539 613",
"Coomcallee","OSI",59300,68500,675,,"u754",,,".083","V 593 685",
"Drung Hill","OSI",60200,87800,640,,"u755",,,".083","V 602 878",
"Dursey Island","OSI",47200,40300,252,,"u756",,,".084","V 472 403",
"Knockoura","OSI",62100,46200,490,,"u757",,,".084","V 621 462",
"Coomnacloghane","OSI",73200,54800,599,,"u758",,,".084","V 732 548",
"Hungry Hill","P53 OSI",76093,49738,685,,"u759","OSI primary",1,".084","V 760 497",
"Knocknagullion","OSI",76100,69600,413,,"u760",,,".084","V 761 696",
"Coomnadiha","OSI",84800,60000,644,,"u761",,,".085","V 848 600",
"Sugarloaf Mountain","OSI",87300,52900,574,,"u762",,,".085","V 873 529",
"Gortalassa","OSI",92200,44300,223,,"u763",,,".085","V 922 443",
"Knockboy","OSI",100500,62100,706,,"u764",,,".085","W 005 621",
"Knocknaveagh","OSI",101600,47500,284,,"u765","OSI Hotine",,".085","W 016 475",
"Mount Kid","OSI",104000,40500,298,,"u766",,,".085","W 040 405",
"Douce Mountain","OSI",112300,61400,476,,"u767",,,".085","W 123 614",
"Derreenacrinnig","OSI",112800,52000,509,,"u768",,,".085","W 128 520",
"Lahanaght","OSI",116400,45100,223,,"u769",,,".085","W 164 451",
"Carrigarierk","OSI",121100,61700,343,,"u770",,,".085","W 211 617",
"Carrigfadda","P54 OSI",124242,43067,313,,"u771","tbc",1,".086","W 242 430",
"Knockaunnagorp","OSI",128900,63500,251,,"u772",,,".086","W 289 635",
"Moneynacroha","OSI",134100,59800,227,,"u773",,,".086","W 341 598",
"Clearagh","OSI",136200,64500,287,,"u774",,,".086","W 362 645",
"Knocknastooka","OSI",140800,50700,204,,"u775",,,".086","W 408 507",
"Lisnagat","OSI",144000,61600,220,,"u776",,,".086","W 440 616",
"Knockshanawee","OSI",145500,68800,209,,"u777",,,".086","W 455 688",
"Ballynascubig","OSI",155500,48800,155,,"u778",,,".086","W 555 488",
"Mylane","OSI",155600,66200,208,,"u779",,,".086","W 556 662",
"Knockanerable","OSI",157900,56700,144,,"u780",,,".086","W 579 567",
"Downmacpatrick","OSI",162400,40900,88,,"u781",,,".086","W 624 409",
"Tullig More","OSI",163900,63300,161,,"u782",,,".086","W 639 633",
"Knockduff","OSI",166800,49400,97,,"u783",,,".087","W 668 494",
"Doolieve","P55 OSI",168414,59752,184,,"u784","tbc",1,".087","W 684 597",
"Gortigrenane","OSI",176200,57900,154,,"u785",,,".087","W 762 579",
"Knocknamullagh","OSI",174500,67600,131,,"u786",,,".087","W 745 676",
"Mizen Peak","OSI",74500,24600,232,,"u787","OSI pillar",,".088","V 745 246",
"Knockaphuca","OSI",82300,30700,237,,"u788","OSI pillar",,".088","V 823 307",
"Seefin","OSI",82400,39700,345,,"u789","OSI pillar",,".088","V 824 397",
"Mount Gabriel","OSI",93100,34800,407,,"u790",,,".088","V 931 348",
"Clear Island","OSI",97100,22000,160,,"u791",,,".088","V 971 220",
"Knockomagh","OSI",108800,29200,197,,"u792","Bolt in chamber",,".089","W 088 292","bolt"
"Keamore","OSI",119500,37400,189,,"u793",,,".089","W 195 374",
"Corrabally","OSI",136100,36800,134,,"u794",,,".089","W 361 368",
